City/Town,Democratic,Republican,All Others,Blanks,
Walpole,"6,534","2,839",0,417,
Waltham,"12,550","4,690",0,"1,395",
Ware,"2,732",799,0,150,
Wareham,"4,514","2,091",1,289,
Warren,"1,095",415,0,55,
Warwick,200,84,0,14,
Washington,158,66,0,9,
Watertown,"10,021","2,845",10,741,
Wayland,"4,480","1,748",1,278,
Webster,"3,386","1,545",0,320,
Wellesley,"8,132","3,949",0,529,
Wellfleet,987,409,0,69,
Wendell,246,74,0,27,
Wenham,932,782,0,50,
W. Boylston,"2,000",986,0,107,
W. Bridgewater,"1,672","1,239",0,158,
W. Brookfield,852,414,0,68,
W. Newbury,"1,079",691,0,70,
W. Springfield,"6,799","2,830",0,565,
W. Stockbridge,402,188,2,40,
W. Tisbury,761,201,0,66,
Westborough,"4,096","2,020",0,246,
Westfield,"9,280","3,719",4,737,
Westford,"4,813","2,741",7,427,
Westhampton,434,208,0,41,
Westminster,"1,730",772,0,118,
Weston,"3,234","1,926",2,279,
Westport,"3,470","1,488",0,437,
Westwood,"4,634","2,024",0,525,
Weymouth,"14,944","6,399",0,"1,305",
Whately,591,183,0,55,
Whitman,"3,253","1,643",2,198,
Wilbraham,"4,099","1,944",0,251,
Williamsburg,804,272,1,43,
Williamstown,"2,089",685,0,207,
Wilmington,"4,991","2,651",0,406,
Winchendon,"1,416",764,0,137,
Winchester,"6,937","3,250",0,491,
Windsor,224,111,0,28,
Winthrop,"4,758","2,275",5,390,
Woburn,"10,003","4,220",0,680,
Worcester,"32,977","11,883",74,"1,986",
Worthington,342,160,0,30,
Wrentham,"2,201","1,284",0,331,
Yarmouth,"7,037","3,537",6,337,
