City/Town,Democratic,Republican,All Others,Blanks,
Abington,"3,730","1,827",0,311,
Acton,"5,835","2,358",1,454,
Acushnet,"2,659",869,4,243,
Adams,"2,799",727,2,239,
Agawam,"7,972","2,690",0,804,
Alford,92,82,0,10,
Amesbury,"3,164","1,765",0,365,
Amherst,"5,912","1,211",0,655,
Andover,"8,174","4,651",0,"1,129",
Aquinnah,95,28,0,14,
Arlington,"15,570","4,875",2,"1,247",
Ashburnham,"1,296",580,0,90,
Ashby,710,372,0,31,
Ashfield,557,191,0,43,
Ashland,"3,702","1,326",0,316,
Athol,"2,051","1,023",1,319,
Attleboro,"6,927","3,797",1,834,
Auburn,"4,288","2,065",1,263,
Avon,"1,438",617,3,103,
Ayer,"1,287",527,0,55,
Barnstable,"12,612","5,918",8,752,
Barre,"1,274",538,0,93,
Becket,344,177,0,39,
Bedford,"3,730","1,560",0,298,
Belchertown,"2,780","1,026",0,354,
Bellingham,"3,631","1,568",0,302,
Belmont,"9,043","3,177",0,836,
Berkley,986,542,0,93,
Berlin,622,388,0,39,
Bernardston,561,248,0,33,
Beverly,"9,745","5,394",0,780,
Billerica,"8,662","4,518",5,469,
Blackstone,"1,822",783,0,163,
Blandford,279,206,0,20,
Bolton,"1,015",564,0,83,
Boston,"97,682","28,593",2,"19,178",
Bourne,"3,881","2,051",1,573,
Boxborough,"1,158",543,0,64,
Boxford,"1,687","1,602",1,117,
Boylston,"1,190",600,0,78,
Braintree,"10,344","4,256",14,723,
Brewster,"2,923","1,514",0,163,
Bridgewater,"3,998","2,556",2,584,
Brimfield,800,431,0,39,
Brockton,"15,474","6,827",0,"1,589",
Brookfield,723,360,0,39,
Brookline,"16,587","3,873",0,"1,505",
Buckland,543,211,0,42,
Burlington,"6,475","2,937",3,439,
Cambridge,"26,337","4,738",3,"2,466",
Canton,"6,430","2,402",0,504,
Carlisle,"1,486",764,0,119,
Carver,"2,605","1,368",0,137,
Charlemont,269,134,0,21,
Charlton,"2,012","1,245",0,136,
Chatham,"2,340","1,437",0,116,
Chelmsford,"8,922","4,705",4,666,
Chelsea,"3,971","1,680",1,826,
Cheshire,964,396,0,65,
Chester,307,149,0,29,
Chesterfield,253,167,0,25,
Chicopee,"14,725","4,024",18,706,
Chilmark,291,106,0,24,
Clarksburg,498,176,0,39,
Clinton,"3,594","1,346",0,263,
Cohasset,"2,216","1,284",0,308,
Colrain,413,192,0,29,
Concord,"5,531","2,182",0,479,
Conway,586,162,0,36,
Cummington,242,104,0,30,
Dalton,"1,653",793,0,150,
Danvers,"6,234","3,942",0,570,
Dartmouth,"6,438","2,641",0,812,
Dedham,"7,628","2,677",0,680,
Deerfield,"1,618",444,0,87,
Dennis,"4,673","2,393",10,226,
Dighton,"1,254",705,0,256,
Douglas,"1,349",738,0,94,
Dover,"1,565","1,096",0,123,
Dracut,"6,444","3,278",0,807,
Dudley,"2,121",970,0,231,
Dunstable,613,402,0,35,
Duxbury,"3,833","2,669",3,336,
E. Bridgewater,"2,377","1,727",0,251,
E. Brookfield,474,247,0,38,
E. Longmeadow,"4,309","1,779",5,292,
Eastham,"1,762",846,0,66,
Easthampton,"4,582","1,441",1,277,
Easton,"4,993","2,943",2,354,
Edgartown,978,356,1,101,
Egremont,349,179,0,28,
Erving,384,160,0,32,
Essex,897,634,0,50,
Everett,"7,600","3,571",0,951,
Fairhaven,"3,985","1,477",0,432,
Fall River,"17,712","4,946",0,"2,909",
Falmouth,"9,054","3,810",0,735,
Fitchburg,"7,221","2,641",0,749,
Florida,180,87,0,17,
Foxborough,"4,380","2,108",1,297,
Framingham,"16,677","5,585",0,"1,005",
Franklin,"5,994","2,771",1,"1,065",
Freetown,"1,971",957,2,144,
Gardner,"4,218","1,572",0,761,
Georgetown,"1,753","1,046",4,150,
Gill,482,98,1,26,
Gloucester,"6,478","3,606",0,"1,210",
Goshen,197,115,0,23,
Gosnold,44,25,0,2,
Grafton,"3,298","1,588",1,457,
Granby,"1,596",589,0,104,
Granville,274,258,0,36,
Great Barrington,"1,655",657,4,236,
Greenfield,"4,837","1,369",0,353,
Groton,"2,282","1,166",0,156,
Groveland,"1,419",889,0,91,
Hadley,"1,703",439,0,111,
Halifax,"1,622",957,2,132,
Hamilton,"1,851","1,377",2,159,
Hampden,"1,402",682,0,72,
Hancock,137,105,0,18,
Hanover,"3,490","1,878",0,277,
Hanson,"2,279","1,310",1,160,
Hardwick,726,235,1,37,
Harvard,"1,674",729,0,114,
Harwich,"3,574","1,800",0,312,
Hatfield,"1,273",289,0,73,
Haverhill,"11,375","5,233",2,"1,018",
Hawley,59,51,0,3,
Heath,171,88,0,22,
Hingham,"6,212","3,443",6,472,
Hinsdale,423,177,0,34,
Holbrook,"2,999","1,239",1,206,
Holden,"4,489","2,374",0,354,
Holland,510,284,0,22,
Holliston,"4,227","1,778",0,293,
Holyoke,"8,177","2,297",0,"1,330",
Hopedale,"1,670",644,0,132,
Hopkinton,"3,113","1,361",4,187,
Hubbardston,732,456,0,54,
Hudson,"4,503","1,833",1,284,
Hull,"2,945","1,054",0,338,
Huntington,442,245,0,30,
Ipswich,"3,511","2,217",9,224,
Kingston,"2,331","1,325",0,304,
Lakeville,"1,991","1,362",0,142,
Lancaster,"1,281",817,0,143,
Lanesborough,670,346,0,78,
Lawrence,"7,599","2,916",0,"1,500",
Lee,"1,396",671,0,279,
Leicester,"2,778","1,159",0,161,
Lenox,"1,501",716,0,205,
Leominster,"8,124","3,507",0,"1,478",
Leverett,695,134,0,45,
Lexington,"10,785","3,817",0,871,
Leyden,202,95,0,19,
Lincoln,"1,904",692,0,157,
Littleton,"2,195","1,023",0,129,
Longmeadow,"5,083","2,357",4,265,
Lowell,"15,497","6,594",0,"1,688",
Ludlow,"5,076","1,416",1,555,
Lunenburg,"2,281","1,174",0,158,
Lynn,"15,615","8,480",2,"1,682",
Lynnfield,"3,110","2,590",2,276,
Malden,"11,600","4,500",1,"1,135",
Manchester-by-the-Sea,"1,544","1,041",1,122,
Mansfield,"4,523","2,226",0,338,
Marblehead,"6,475","3,483",5,487,
Marion,"1,272",748,0,88,
Marlborough,"8,160","3,144",8,618,
Marshfield,"5,857","3,046",0,854,
Mashpee,"2,603","1,269",0,117,
Mattapoisett,"1,945",902,0,128,
Maynard,"3,137","1,097",1,181,
Medfield,"3,564","1,657",0,179,
Medford,"15,488","5,639",21,977,
Medway,"2,883","1,313",0,263,
Melrose,"8,037","4,530",9,426,
Mendon,"1,104",638,1,93,
Merrimac,"1,368",676,0,74,
Methuen,"9,215","4,238",0,"2,036",
Middleborough,"3,477","2,143",8,260,
Middlefield,126,52,0,8,
Middleton,"1,318",902,0,122,
Milford,"6,119","2,230",0,628,
Millbury,"3,242","1,290",0,252,
Millis,"2,176","1,046",0,143,
Millville,550,237,0,56,
Milton,"7,854","3,559",0,"1,168",
Monroe,31,11,0,3,
Monson,"2,045",831,0,162,
Montague,"2,433",541,0,133,
Monterey,244,93,0,21,
Montgomery,206,138,0,12,
Mount Washington,40,18,0,5,
Nahant,"1,213",696,3,96,
Nantucket,"1,952",848,0,195,
Natick,"9,314","3,830",0,630,
Needham,"10,049","4,077",13,565,
New Ashford,44,33,0,14,
New Bedford,"18,853","5,016",1,"1,748",
New Braintree,242,112,0,24,
New Marlborough,251,187,0,33,
New Salem,245,126,0,9,
Newbury,"1,764","1,168",0,133,
Newburyport,"5,229","2,170",8,448,
Newton,"28,466","6,644",0,"2,062",
Norfolk,"2,262","1,315",0,134,
N. Adams,"3,428",921,1,304,
N. Andover,"6,366","3,472",0,392,
N. Attleborough,"5,094","3,033",0,656,
N. Brookfield,"1,092",546,0,85,
N. Reading,"3,643","2,029",1,225,
Northampton,"9,437","1,807",3,578,
Northborough,"3,540","1,793",3,269,
Northbridge,"2,979","1,510",0,268,
Northfield,925,303,0,74,
Norton,"3,000","1,716",0,444,
Norwell,"2,784","1,719",0,212,
Norwood,"8,658","2,841",0,940,
Oak Bluffs,"1,005",367,0,88,
Oakham,430,235,0,24,
Orange,"1,493",825,0,89,
Orleans,"2,070","1,287",0,183,
Otis,216,188,0,45,
Oxford,"2,707","1,423",0,228,
Palmer,"3,052","1,082",0,456,
Paxton,"1,267",666,0,81,
Peabody,"12,246","6,768",17,915,
Pelham,546,114,0,26,
Pembroke,"3,669","2,022",0,448,
Pepperell,"2,373","1,333",1,123,
Peru,143,103,0,17,
Petersham,380,181,0,38,
Phillipston,316,155,0,15,
Pittsfield,"10,812","4,230",0,"1,211",
Plainfield,170,71,0,12,
Plainville,"1,468",916,0,201,
Plymouth,"10,324","5,563",0,"1,058",
Plympton,685,392,0,56,
Princeton,930,527,0,74,
Provincetown,"1,432",272,0,77,
Quincy,"21,863","8,853",0,"1,689",
Randolph,"7,975","2,377",10,519,
Raynham,"2,751","1,350",0,268,
Reading,"6,945","3,650",2,347,
Rehoboth,"1,792","1,405",3,174,
Revere,"8,931","5,170",2,"1,219",
Richmond,493,251,0,28,
Rochester,"1,016",687,0,64,
Rockland,"4,203","1,825",5,310,
Rockport,"2,303","1,304",1,132,
Rowe,86,80,0,5,
Rowley,"1,228",795,1,95,
Royalston,242,149,0,16,
Russell,330,175,0,26,
Rutland,"1,201",663,0,168,
Salem,"9,371","4,365",2,714,
Salisbury,"1,646",848,3,106,
Sandisfield,149,87,0,22,
Sandwich,"4,920","2,601",0,220,
Saugus,"4,690","6,062",1,493,
Savoy,130,83,0,17,
Scituate,"5,603","2,774",8,359,
Seekonk,"2,995","1,805",4,253,
Sharon,"6,038","1,556",0,307,
Sheffield,582,551,0,90,
Shelburne,565,201,0,43,
Sherborn,"1,306",840,7,94,
Shirley,"1,232",662,0,62,
Shrewsbury,"7,822","3,431",2,549,
Shutesbury,617,120,0,40,
Somerset,"5,633","1,830",0,498,
Somerville,"16,948","3,923",35,"1,383",
S. Hadley,"5,180","1,654",0,437,
Southampton,"1,381",655,0,91,
Southborough,"2,357","1,104",0,115,
Southbridge,"3,562","1,302",0,530,
Southwick,"1,858",942,2,139,
Spencer,"2,645","1,147",0,146,
Springfield,"28,008","6,895",0,"4,337",
Sterling,"1,751","1,084",1,131,
Stockbridge,751,278,0,70,
Stoneham,"6,000","2,871",6,375,
Stoughton,"7,092","2,698",0,628,
Stow,"1,892",843,0,105,
Sturbridge,"2,055","1,057",0,177,
Sudbury,"4,967","2,213",0,328,
Sunderland,833,249,2,68,
Sutton,"1,835","1,042",1,156,
Swampscott,"4,474","1,941",2,270,
Swansea,"3,973","1,691",4,432,
Taunton,"9,703","3,936",0,"1,435",
Templeton,"1,513",631,0,79,
Tewksbury,"7,035","3,539",10,345,
Tisbury,"1,057",320,0,80,
Tolland,77,70,0,2,
Topsfield,"1,574","1,203",0,108,
Townsend,"1,895",991,0,128,
Truro,701,194,0,21,
Tyngsborough,"1,980","1,215",0,118,
Tyringham,105,55,0,21,
Upton,"1,563",837,0,115,
Uxbridge,"2,584","1,205",0,167,
Wakefield,"7,099","3,922",0,560,
Wales,366,178,0,29,
