City/Town,Democratic,Republican,All Others,Blanks
Millville,319,639,168,28
Milton,"7,014","4,711",1157,68
Monroe,18,20,3,1
Monson,"1,168","1,482",520,29
Montague,"1,864",629,508,33
Monterey,306,62,23,9
Montgomery,113,211,76,4
Mount Washington,48,26,4,3
Nahant,871,863,142,38
Nantucket,"2,454","1,846",412,126
Natick,"6,979","5,813",1046,172
Needham,"7,431","6,123",598,102
New Ashford,73,27,11,1
New Bedford,"14,516","5,483",1995,618
New Braintree,171,229,48,1
New Marlborough,371,177,36,7
New Salem,265,141,63,1
Newbury,"1,461","1,744",312,22
Newburyport,"4,454","3,597",523,61
Newton,"23,424","10,381",1433,235
Norfolk,"1,394","2,761",332,16
N. Adams,"2,505",684,282,57
N. Andover,"3,999","6,419",752,82
N. Attleborough,"3,091","5,921",942,103
N. Brookfield,622,"1,022",228,22
N. Reading,"2,285","3,805",518,42
Northampton,"8,751","1,843",1292,181
Northborough,"2,738","3,332",502,59
Northbridge,"1,714","3,283",523,30
Northfield,722,364,152,9
Norton,"2,301","3,728",692,47
Norwell,"1,803","2,933",473,26
Norwood,"4,636","5,270",1351,112
Oak Bluffs,"1,205",713,193,34
Oakham,326,514,88,11
Orange,"1,051","1,105",389,34
Orleans,"1,852","1,714",214,50
Otis,299,217,60,7
Oxford,"1,635","2,618",568,33
Palmer,"1,577","1,862",822,47
Paxton,826,"1,040",151,23
Peabody,"8,162","9,725",2349,199
Pelham,556,96,65,2
Pembroke,"2,519","3,985",966,48
Pepperell,"1,555","2,763",505,37
Peru,169,90,32,6
Petersham,306,312,76,6
Phillipston,245,371,94,5
Pittsfield,"9,243","2,525",955,163
Plainfield,199,75,28,1
Plainville,940,"1,882",362,51
Plymouth,"8,647","11,220",2392,133
Plympton,459,769,176,9
Princeton,714,"1,042",119,11
Provincetown,"1,509",191,99,14
Quincy,"12,632","10,417",8026,552
Randolph,"6,126","3,046",980,88
Raynham,"1,763","2,996",661,72
Reading,"4,548","5,657",779,62
Rehoboth,"1,568","2,511",391,53
Revere,"5,331","4,981",1364,220
Richmond,586,123,34,4
Rochester,897,"1,295",245,24
Rockland,"2,352","3,154",1134,52
Rockport,"1,950","1,413",284,31
Rowe,96,62,17,4
Rowley,889,"1,587",224,23
Royalston,221,205,90,9
Russell,182,283,111,5
Rutland,"1,232","1,877",314,34
Salem,"7,159","5,068",1312,120
Salisbury,"1,218","1,560",364,22
Sandisfield,185,107,27,3
Sandwich,"3,759","5,552",863,151
Saugus,"3,637","5,541",1286,130
Savoy,127,66,29,8
Scituate,"3,704","4,600",798,70
Seekonk,"2,090","2,575",501,111
Sharon,"4,370","2,994",496,81
Sheffield,825,317,76,13
Shelburne,557,168,107,24
Sherborn,"1,045","1,152",84,11
Shirley,899,"1,281",238,20
Shrewsbury,"5,942","6,937",1024,156
Shutesbury,698,121,94,3
Somerset,"3,757","2,878",685,160
Somerville,"16,486","4,397",1859,269
S. Hadley,"3,164","2,495",790,41
Southampton,"1,043","1,200",365,10
Southborough,"1,833","2,441",243,17
Southbridge,"2,028","1,762",610,74
Southwick,"1,044","1,931",499,32
Spencer,"1,403","2,202",527,35
Springfield,"20,297","8,035",3635,604
Sterling,"1,259","2,211",337,24
Stockbridge,689,159,47,9
Stoneham,"3,619","4,859",829,78
Stoughton,"4,518","4,598",1165,101
Stow,"1,625","1,569",188,3
Sturbridge,"1,435","2,020",426,33
Sudbury,"4,115","3,845",328,40
Sunderland,862,292,153,13
Sutton,"1,436","2,494",384,34
Swampscott,"2,907","3,600",320,45
Swansea,"2,643","2,573",622,90
Taunton,"7,308","7,120",2203,313
Templeton,"1,000","1,441",402,25
Tewksbury,"3,701","6,475",1396,88
Tisbury,"1,187",605,181,30
Tolland,70,119,20,1
Topsfield,"1,125","1,891",175,35
Townsend,"1,097","2,185",298,22
Truro,766,370,83,10
Tyngsborough,"1,454","2,706",495,36
Tyringham,143,52,16,6
Upton,"1,116","1,841",285,26
Uxbridge,"1,732","3,070",601,56
Wakefield,"4,196","6,258",827,82
Wales,235,346,128,6
Walpole,"3,743","6,039",1055,86
Waltham,"8,724","7,082",1580,156
Ware,"1,216","1,344",572,35
Wareham,"3,436","3,611",960,67
Warren,609,768,282,14
Warwick,194,103,47,5
Washington,171,72,20,6
Watertown,"7,227","3,767",927,98
Wayland,"3,479","2,594",272,39
Webster,"1,775","2,460",647,48
Wellesley,"5,962","5,466",388,152
Wellfleet,"1,134",522,149,15
Wendell,293,56,73,6
Wenham,694,"1,093",74,6
W. Boylston,"1,333","1,635",263,23
W. Bridgewater,862,"1,817",353,25
W. Brookfield,604,733,176,14
W. Newbury,972,"1,138",124,16
W. Springfield,"3,479","3,899",1299,125
W. Stockbridge,508,89,35,9
W. Tisbury,"1,018",380,119,28
Westborough,"3,053","3,280",432,64
Westfield,"4,725","5,847",1956,145
Westford,"3,837","5,213",665,57
Westhampton,410,309,128,4
Westminster,"1,115","1,854",356,22
Weston,"2,403","2,677",151,17
Westport,"3,211","2,660",593,171
Westwood,"2,950","3,899",436,43
Weymouth,"8,089","9,748",3825,156
Whately,419,233,116,12
Whitman,"1,758","2,925",825,49
Wilbraham,"2,377","3,355",679,91
Williamsburg,821,267,148,15
Williamstown,"2,125",488,100,15
Wilmington,"3,154","5,085",975,97
Winchendon,"1,002","1,563",437,18
Winchester,"4,786","4,796",488,57
Windsor,246,92,37,3
Winthrop,"2,888","3,047",725,68
Woburn,"5,520","7,096",1600,145
Worcester,"25,605","14,032",3243,444
Worthington,319,154,105,5
Wrentham,"1,430","2,814",468,33
Yarmouth,"4,679","5,332",1013,116
,,,,
