City/Town,Democratic,Republican,All Others,Blanks
Abington,"2,121","3,203",962,49
Acton,"5,326","3,478",452,42
Acushnet,"2,067","1,489",436,80
Adams,"1,629",548,155,20
Agawam,"4,019","4,975",1708,134
Alford,179,38,8,1
Amesbury,"2,633","2,949",611,41
Amherst,"6,284",879,738,58
Andover,"5,893","7,540",751,79
Aquinnah,143,50,24,3
Arlington,"13,205","5,684",1393,149
Ashburnham,915,"1,298",290,20
Ashby,498,748,167,11
Ashfield,615,156,101,8
Ashland,"2,946","3,080",484,44
Athol,"1,353","1,585",465,27
Attleboro,"4,946","6,780",1445,97
Auburn,"2,749","3,238",685,57
Avon,676,877,279,20
Ayer,"1,031","1,255",272,19
Barnstable,"7,983","10,382",1742,132
Barre,771,983,273,21
Becket,376,177,51,6
Bedford,"2,909","2,597",378,31
Belchertown,"2,559","2,143",688,29
Bellingham,"2,191","3,355",850,53
Belmont,"6,546","3,960",606,72
Berkley,802,"1,321",286,48
Berlin,564,726,122,14
Bernardston,485,245,141,7
Beverly,"7,100","7,132",1420,117
Billerica,"4,977","8,128",1845,124
Blackstone,"1,121","1,665",480,35
Blandford,175,262,80,7
Bolton,968,"1,221",157,19
Boston,"114,519","37,493",10891,"1,409"
Bourne,"3,025","4,242",816,55
Boxborough,"1,113","1,032",148,14
Boxford,"1,348","2,642",228,35
Boylston,875,"1,129",162,15
Braintree,"5,519","6,886",2804,133
Brewster,"2,531","2,325",407,93
Bridgewater,"3,196","4,925",979,68
Brimfield,460,901,230,13
Brockton,"12,380","7,656",2290,187
Brookfield,444,686,171,4
Brookline,"14,909","4,765",772,110
Buckland,505,174,111,13
Burlington,"3,777","4,815",823,60
Cambridge,"26,918","4,284","2,732",306
Canton,"3,902","4,706",862,79
Carlisle,"1,428","1,139",112,17
Carver,"1,487","2,441",565,103
Charlemont,283,116,71,6
Charlton,"1,445","2,837",481,22
Chatham,"1,663","1,966",247,21
Chelmsford,"5,717","8,040",1338,114
Chelsea,"3,223","1,301",397,218
Cheshire,711,311,94,16
Chester,168,226,103,2
Chesterfield,246,201,85,3
Chicopee,"6,853","6,273",3024,211
Chilmark,361,168,45,6
Clarksburg,340,146,51,12
Clinton,"2,058","2,162",491,60
Cohasset,"1,480","2,060",257,26
Colrain,377,158,101,10
Concord,"5,280","3,110",332,43
Conway,649,220,109,8
Cummington,255,82,75,8
Dalton,"1,554",614,152,23
Danvers,"4,027","5,599",1043,68
Dartmouth,"6,563","4,340",1003,213
Dedham,"4,513","4,674",1158,71
Deerfield,"1,385",529,294,13
Dennis,"3,347","3,647",660,58
Dighton,966,"1,427",336,41
Douglas,913,"2,003",367,22
Dover,"1,014","1,780",98,14
Dracut,"3,428","6,306",1324,118
Dudley,"1,263","2,052",404,26
Dunstable,512,792,114,14
Duxbury,"2,790","4,338",498,42
E. Bridgewater,"1,637","2,986",736,33
E. Brookfield,268,534,105,8
E. Longmeadow,"2,332","3,190",698,42
Eastham,"1,615","1,270",225,16
Easthampton,"3,422","1,894",934,38
Easton,"3,332","4,882",792,70
Edgartown,966,807,176,17
Egremont,456,123,24,4
Erving,289,131,80,8
Essex,721,899,129,11
Everett,"4,579","3,257",1113,155
Fairhaven,"3,492","2,189",601,86
Fall River,"12,028","5,762",2020,848
Falmouth,"7,739","6,812",1283,120
Fitchburg,"4,378","4,532",1115,82
Florida,122,95,27,9
Foxborough,"2,562","3,998",683,35
Framingham,"10,579","7,911",1535,124
Franklin,"4,617","6,884",1255,73
Freetown,"1,450","1,716",335,67
Gardner,"2,661","2,743",780,38
Georgetown,"1,274","2,068",328,20
Gill,386,149,96,8
Gloucester,"5,588","4,749",996,133
Goshen,223,163,77,5
Gosnold,28,34,6,0
Grafton,"2,522","3,576",561,30
Granby,"1,213","1,321",486,34
Granville,219,377,93,6
Great Barrington,"1,951",406,160,27
Greenfield,"3,851","1,304",807,70
Groton,"2,051","2,402",347,76
Groveland,"1,025","1,719",277,26
Hadley,"1,346",627,268,23
Halifax,985,"1,731",428,21
Hamilton,"1,401","1,949",219,34
Hampden,751,"1,167",322,23
Hancock,176,88,18,3
Hanover,"2,060","3,685",811,54
Hanson,"1,404","2,360",579,46
Hardwick,410,454,140,10
Harvard,"1,521","1,144",166,47
Harwich,"2,936","2,992",581,45
Hatfield,828,476,219,11
Haverhill,"7,829","9,635",2144,172
Hawley,62,46,27,0
Heath,188,87,45,1
Hingham,"4,658","5,741",861,60
Hinsdale,440,202,67,5
Holbrook,"1,500","1,934",618,24
Holden,"3,513","4,398",645,78
Holland,295,527,128,10
Holliston,"2,849","3,314",447,32
Holyoke,"6,139","2,923",1294,110
Hopedale,968,"1,347",233,24
Hopkinton,"2,467","3,569",399,23
Hubbardston,670,"1,166",200,21
Hudson,"3,165","3,669",742,83
Hull,"2,245","1,831",575,49
Huntington,329,359,146,3
Ipswich,"2,732","3,135",476,40
Kingston,"1,899","2,895",639,41
Lakeville,"1,410","2,715",467,48
Lancaster,"1,071","1,574",258,29
Lanesborough,704,267,68,13
Lawrence,"9,094","3,139",807,205
Lee,"1,314",459,184,26
Leicester,"1,594","2,158",458,32
Lenox,"1,698",419,123,27
Leominster,"5,179","6,782",1308,116
Leverett,737,153,104,4
Lexington,"9,330","4,529",571,73
Leyden,217,76,59,1
Lincoln,"1,864",878,105,18
Littleton,"1,812","2,051",320,34
Longmeadow,"3,451","3,336",536,49
Lowell,"10,839","8,987",2358,336
Ludlow,"2,687","3,126",1110,90
Lunenburg,"1,665","2,411",414,33
Lynn,"11,358","7,533",2200,220
Lynnfield,"1,630","3,714",277,31
Malden,"7,743","5,417",1449,199
Manchester-by-the-Sea,"1,207","1,410",121,14
Mansfield,"3,165","4,869",801,96
Marblehead,"4,482","5,179",441,68
Marion,"1,150","1,144",195,16
Marlborough,"5,346","5,872",1121,81
Marshfield,"4,150","6,225",1272,79
Mashpee,"2,586","3,292",548,50
Mattapoisett,"1,510","1,436",245,79
Maynard,"2,241","1,827",433,40
Medfield,"2,193","3,286",364,55
Medford,"10,745","7,101",2054,186
Medway,"2,090","2,938",490,31
Melrose,"5,842","5,584",891,94
Mendon,770,"1,543",204,17
Merrimac,"1,020","1,372",297,26
Methuen,"5,447","8,235",1509,135
Middleborough,"2,836","4,971",1088,115
Middlefield,133,66,37,0
Middleton,"1,053","2,127",312,16
Milford,"3,584","4,507",876,78
Millbury,"2,003","2,501",527,34
Millis,"1,405","1,939",360,28
