City/Town,Democratic,Republican,All Others,Blanks
Millbury,"2,458","1,639",485,43
Millis,"1,691","1,496",352,32
Millville,429,426,117,6
Milton,"7,543","4,321",856,117
Monroe,25,16,0,1
Monson,"1,558","1,211",317,19
Montague,"2,293",588,264,39
Monterey,335,81,20,9
Montgomery,148,162,48,3
Mount Washington,54,19,4,2
Nahant,952,679,217,26
Nantucket,"2,244","1,402",348,38
Natick,"7,554","4,705",1228,214
Needham,"8,089","4,777",928,89
New Ashford,67,21,6,1
New Bedford,"16,704","5,142",1733,521
New Braintree,236,150,49,1
New Marlborough,431,149,30,9
New Salem,312,123,37,3
Newbury,"1,657","1,347",343,25
Newburyport,"4,706","2,784",648,57
Newton,"23,556","7,937",2132,193
Norfolk,"1,622","2,032",351,27
N. Adams,"3,100",640,141,90
N. Andover,"4,767","5,059",718,74
N. Attleborough,"3,984","4,411",931,131
N. Brookfield,808,760,214,13
N. Reading,"2,575","2,995",592,49
Northampton,"9,419","1,795",756,86
Northborough,"3,025","2,550",541,55
Northbridge,"2,312","2,334",545,41
Northfield,881,308,103,11
Norton,"2,822","2,599",621,51
Norwell,"2,040","2,415",440,26
Norwood,"5,309","4,610",1170,150
Oak Bluffs,"1,210",568,153,20
Oakham,365,357,93,4
Orange,"1,292",809,218,10
Orleans,"1,784","1,662",326,38
Otis,353,158,36,6
Oxford,"2,326","1,781",533,28
Palmer,"2,138","1,726",375,39
Paxton,"1,086",755,154,25
Peabody,"10,033","7,989",2186,250
Pelham,585,83,42,5
Pembroke,"3,097","3,161",841,59
Pepperell,"1,925","2,174",408,22
Peru,170,69,16,2
Petersham,353,242,53,5
Phillipston,333,253,96,9
Pittsfield,"10,826","2,849",505,187
Plainfield,175,73,22,15
Plainville,"1,297","1,327",327,29
Plymouth,"10,012","8,630",2455,134
Plympton,562,600,171,11
Princeton,832,743,141,11
Provincetown,"1,571",248,125,12
Quincy,"14,918","10,690",3238,425
Randolph,"6,699","2,771",916,83
Raynham,"2,098","2,089",528,38
Reading,"4,934","4,421",770,123
Rehoboth,"1,827","1,971",269,70
Revere,"6,267","4,551",1178,250
Richmond,642,122,19,4
Rochester,994,983,265,28
Rockland,"2,931","2,689",954,81
Rockport,"2,099","1,296",315,24
Rowe,118,60,12,2
Rowley,"1,023","1,219",289,31
Royalston,272,148,54,3
Russell,277,218,61,2
Rutland,"1,471","1,254",292,18
Salem,"8,169","4,260",1330,107
Salisbury,"1,452","1,108",333,18
Sandisfield,190,69,12,2
Sandwich,"3,834","4,456",1055,104
Saugus,"4,512","4,304",1214,96
Savoy,154,47,14,5
Scituate,"4,002","3,690",905,69
Seekonk,"2,444","2,410",362,116
Sharon,"4,815","2,262",661,80
Sheffield,892,335,63,38
Shelburne,679,177,52,9
Sherborn,"1,149",893,164,16
Shirley,"1,069",934,281,17
Shrewsbury,"6,933","5,111",938,177
Shutesbury,806,99,67,1
Somerset,"4,520","2,264",460,114
Somerville,"16,024","4,104",1863,339
S. Hadley,"3,822","2,329",507,32
Southampton,"1,256","1,009",232,17
Southborough,"2,083","1,892",369,21
Southbridge,"3,054","1,481",487,121
Southwick,"1,463","1,587",304,22
Spencer,"2,025","1,499",431,19
Springfield,"21,944","7,665",2459,578
Sterling,"1,422","1,616",335,20
Stockbridge,764,170,31,23
Stoneham,"4,387","3,736",948,80
Stoughton,"5,257","3,620",1178,156
Stow,"1,626","1,194",280,17
Sturbridge,"1,786","1,638",294,15
Sudbury,"4,266","3,002",511,51
Sunderland,939,272,93,13
Sutton,"1,731","1,663",412,39
Swampscott,"3,581","2,084",566,81
Swansea,"3,276","2,130",346,47
Taunton,"8,637","5,044",1582,199
Templeton,"1,423",948,321,19
Tewksbury,"4,925","5,236",1272,107
Tisbury,"1,066",491,149,22
Tolland,67,107,12,2
Topsfield,"1,243","1,586",218,51
Townsend,"1,345","1,668",358,19
Truro,822,283,109,10
Tyngsborough,"1,832","2,052",432,29
Tyringham,145,43,4,4
Upton,"1,298","1,312",286,11
Uxbridge,"2,321","2,194",491,29
Wakefield,"5,285","4,719",987,97
Wales,342,300,71,3
Walpole,"4,432","4,720",1002,69
Waltham,"9,082","5,955",1554,194
Ware,"1,736","1,170",294,27
Wareham,"4,082","2,693",927,45
Warren,826,657,165,14
Warwick,221,73,27,3
Washington,188,47,15,5
Watertown,"7,410","3,381",1204,144
Wayland,"3,775","2,161",448,65
Webster,"2,353","1,587",545,35
Wellesley,"6,360","4,337",609,135
Wellfleet,"1,075",451,163,12
Wendell,348,36,33,5
Wenham,769,904,109,14
W. Boylston,"1,545","1,241",275,24
W. Bridgewater,"1,056","1,330",467,12
W. Brookfield,768,548,131,22
W. Newbury,"1,007",921,167,11
W. Springfield,"4,180","3,471",778,88
W. Stockbridge,552,107,19,3
W. Tisbury,"1,003",281,113,10
Westborough,"3,391","2,678",535,86
Westfield,"6,143","4,894",1178,194
Westford,"4,102","4,419",747,59
Westhampton,483,304,84,8
Westminster,"1,472","1,354",374,20
Weston,"2,547","2,210",328,42
Westport,"3,495","1,943",410,69
Westwood,"3,025","3,202",591,78
Weymouth,"9,785","8,517",2410,224
Whately,516,216,59,7
Whitman,"2,203","2,249",740,44
Wilbraham,"2,827","3,094",493,86
Williamsburg,937,247,90,12
Williamstown,"2,281",485,75,19
Wilmington,"3,859","4,039",888,51
Winchendon,"1,565","1,117",315,26
Winchester,"5,022","4,044",930,65
Windsor,290,91,23,1
Winthrop,"3,345","2,616",747,86
Woburn,"6,615","6,018",1654,160
Worcester,"28,797","9,701",3311,459
Worthington,376,164,34,1
Wrentham,"1,901","2,164",438,39
Yarmouth,"4,776","4,982",1401,115
