City/Town,Republican,Democratic,All Others,Blanks
Millville,493,421,107,10
Milton,"6,144","5,730",571,256
Monroe,12,21,2,0
Monson,"1,411","1,183",158,24
Montague,956,"1,637",263,22
Monterey,105,251,35,11
Montgomery,185,126,15,3
Mount Washington,24,45,3,0
Nahant,942,864,108,22
Nantucket,"1,974","1,746",204,44
Natick,"7,295","5,800",777,70
Needham,"7,754","5,935",721,124
New Ashford,42,60,7,1
New Bedford,"5,857","16,133",1017,311
New Braintree,221,139,23,3
New Marlborough,195,273,66,9
New Salem,167,228,50,0
Newbury,"1,894","1,109",215,14
Newburyport,"4,246","3,507",482,107
Newton,"13,630","19,556",2106,436
Norfolk,"2,597","1,090",158,44
N. Adams,"1,111","2,545",181,59
N. Andover,"7,047","3,212",539,116
N. Attleborough,"5,802","2,874",393,64
N. Brookfield,"1,010",567,113,26
N. Reading,"4,079","2,049",329,71
Northampton,"2,594","8,065",1071,107
Northborough,"3,805","1,937",336,37
Northbridge,"2,962","1,533",222,27
Northfield,447,636,91,10
Norton,"3,328","1,828",265,29
Norwell,"3,185","1,492",212,29
Norwood,"6,048","4,538",504,116
Oak Bluffs,698,933,82,46
Oakham,455,241,56,0
Orange,"1,154",911,154,26
Orleans,"2,203","1,356",180,25
Otis,202,211,33,3
Oxford,"2,518","1,601",242,46
Palmer,"2,005","1,881",215,50
Paxton,"1,215",696,119,20
Peabody,"10,520","8,397",844,271
Pelham,167,500,48,1
Pembroke,"4,014","2,412",253,37
Pepperell,"2,718","1,384",212,25
Peru,95,135,15,1
Petersham,312,260,40,6
Phillipston,320,200,51,10
Pittsfield,"4,182","8,470",561,275
Plainfield,92,176,34,1
Plainville,"1,758",942,133,28
Plymouth,"11,088","6,942",952,131
Plympton,712,400,75,4
Princeton,994,570,105,5
Provincetown,329,"1,289",111,5
Quincy,"14,666","14,665",1479,325
Randolph,"4,353","5,474",442,87
Raynham,"2,691","1,588",170,33
Reading,"6,231","4,031",478,192
Rehoboth,"2,128","1,275",150,20
Revere,"6,207","6,404",569,383
Richmond,248,462,32,4
Rochester,"1,091",668,121,15
Rockland,"3,558","2,675",277,62
Rockport,"1,904","1,658",229,27
Rowe,83,84,14,1
Rowley,"1,533",716,140,28
Royalston,191,189,58,8
Russell,274,191,37,4
Rutland,"1,644",886,144,14
Salem,"6,384","6,895",810,193
Salisbury,"1,528","1,118",149,25
Sandisfield,76,137,27,3
Sandwich,"5,660","3,142",386,100
Saugus,"5,816","4,163",432,126
Savoy,73,118,12,1
Scituate,"5,477","3,126",401,47
Seekonk,"2,680","1,942",168,42
Sharon,"3,637","3,720",456,65
Sheffield,464,591,73,13
Shelburne,276,432,116,7
Sherborn,"1,432",698,138,8
Shirley,"1,277",755,156,17
Shrewsbury,"7,848","4,490",513,92
Shutesbury,127,658,111,2
Somerset,"2,779","3,897",235,102
Somerville,"6,299","13,607",2277,327
S. Hadley,"3,097","3,222",301,81
Southampton,"1,194","1,191",117,29
Southborough,"2,825","1,307",215,12
Southbridge,"2,472","2,044",248,112
Southwick,"1,859","1,071",170,47
Spencer,"2,240","1,425",258,57
Springfield,"12,566","19,364",1264,554
Sterling,"2,155",908,201,15
Stockbridge,314,658,68,38
Stoneham,"4,951","3,690",409,63
Stoughton,"5,282","4,326",479,93
Stow,"1,631","1,063",241,20
Sturbridge,"1,975","1,098",179,6
Sudbury,"4,621","2,942",404,22
Sunderland,439,762,124,4
Sutton,"2,346","1,086",215,54
Swampscott,"3,438","2,780",292,41
Swansea,"2,378","2,621",224,61
Taunton,"7,027","7,814",635,200
Templeton,"1,122",938,157,28
Tewksbury,"6,666","3,945",521,85
Tisbury,613,832,127,28
Tolland,79,55,10,3
Topsfield,"2,147",839,130,31
Townsend,"2,040",966,235,16
Truro,397,611,73,4
Tyngsborough,"2,659","1,317",185,33
Tyringham,60,122,9,3
Upton,"1,740",822,184,16
Uxbridge,"2,687","1,627",258,122
Wakefield,"6,249","4,252",492,98
Wales,295,226,51,1
Walpole,"6,338","3,233",408,62
Waltham,"8,742","7,525",1060,482
Ware,"1,352","1,433",162,78
Wareham,"3,565","3,126",316,76
Warren,788,591,121,16
Warwick,118,163,21,4
Washington,78,145,17,2
Watertown,"5,026","6,379",739,99
Wayland,"3,532","2,676",382,47
Webster,"2,492","1,770",272,68
Wellesley,"6,937","4,390",534,83
Wellfleet,580,820,124,6
Wendell,55,259,70,3
Wenham,"1,256",503,77,13
W. Boylston,"1,826",923,171,30
W. Bridgewater,"1,814",896,110,29
W. Brookfield,812,466,95,15
W. Newbury,"1,282",649,121,7
W. Springfield,"4,688","3,430",394,165
W. Stockbridge,181,394,70,7
W. Tisbury,416,741,104,8
Westborough,"4,129","2,168",313,39
Westfield,"7,134","5,484",606,184
Westford,"5,674","2,708",556,40
Westhampton,310,397,64,6
Westminster,"1,893",971,207,33
Weston,"3,336","1,722",207,26
Westport,"2,269","2,729",312,61
Westwood,"4,485","2,320",294,45
Weymouth,"11,402","9,093",890,187
Whately,268,395,38,8
Whitman,"2,631","2,582",231,33
Wilbraham,"3,854","2,073",168,78
Williamsburg,336,788,117,14
Williamstown,714,"1,851",118,28
Wilmington,"5,041","2,958",441,133
Winchendon,"1,484",984,144,15
Winchester,"5,930","3,788",541,54
Windsor,108,206,29,2
Winthrop,"3,647","3,280",359,91
Woburn,"7,707","5,508",636,142
Worcester,"18,306","23,024",2545,708
Worthington,204,283,41,2
Wrentham,"2,573","1,318",219,28
Yarmouth,"6,524","4,294",454,73
,,,,
